City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,senanga,-16.1167,23.2667,300.9,38,49,2.49,ZM,1681025739
265,sosnovo-ozerskoye,52.5249,111.5418,277.61,42,100,5.44,RU,1681025739
266,mikhaylovka,50.06,43.2379,283.03,50,16,3.32,RU,1681025739
267,port lincoln,-34.7333,135.8667,289.51,67,93,4.34,AU,1681025739
268,husavik,66.0449,-17.3389,276.56,85,61,4.19,IS,1681025740
269,mareeba,-17.0,145.4333,300.55,85,100,2.01,AU,1681025740
270,dustlik,40.5247,68.0358,295.81,39,100,5.06,UZ,1681025740
271,maragogi,-9.0122,-35.2225,297.77,87,88,0.66,BR,1681025741
272,shelopugino,51.6514,117.5599,278.91,27,100,3.67,RU,1681025741
273,quimper,48.0,-4.1,284.46,76,0,3.6,FR,1681025741
274,dekar,-21.5333,21.9333,300.43,37,89,2.9,BW,1681025741
275,horsham,51.064,-0.3272,282.6,91,75,2.06,GB,1681025741
276,sadalgi,16.5667,74.55,308.44,22,2,4.96,IN,1681025742
277,paamiut,61.994,-49.6678,269.35,83,99,8.19,GL,1681025742
278,nemuro,43.3236,145.575,275.4,67,6,9.12,JP,1681025742
279,mikuni,36.2171,136.1519,286.1,43,0,0.6,JP,1681025743
280,diu,20.7141,70.9822,305.08,43,0,5.4,IN,1681025743
281,nyrob,60.733,56.7202,275.04,78,93,3.28,RU,1681025743
282,tateyama,34.9833,139.8667,285.77,55,0,5.45,JP,1681025743
283,nelson bay,-32.7167,152.15,293.18,41,4,6.26,AU,1681025743
284,alofi,-19.0595,-169.9187,299.09,89,100,3.6,NU,1681025744
285,russellville,35.2784,-93.1338,285.23,56,0,1.54,US,1681025744
286,casablanca,33.5928,-7.6192,289.34,72,7,1.03,MA,1681025744
287,aklavik,68.2191,-135.0107,254.79,97,100,3.03,CA,1681025744
288,flinders,-34.5833,150.8552,292.8,51,97,5.58,AU,1681025745
289,jishou,28.3167,109.7167,295.82,49,99,1.53,CN,1681025745
290,loikaw,19.6742,97.2094,310.81,11,34,3.86,MM,1681025745
291,yeppoon,-23.1333,150.7333,303.03,44,0,0.38,AU,1681025745
292,topeka,39.0483,-95.678,283.59,57,0,1.54,US,1681025494
293,pucallpa,-8.3791,-74.5539,293.74,99,91,0.94,PE,1681025746
294,omboue,-1.5746,9.2618,298.32,90,100,1.9,GA,1681025746
295,umm lajj,25.0213,37.2685,302.9,38,57,3.29,SA,1681025746
296,hatillo,18.4863,-66.8254,296.11,94,8,2.85,PR,1681025747
297,seymchan,62.8833,152.4333,261.12,87,9,0.67,RU,1681025747
298,lasa,46.6166,10.7002,282.05,69,31,1.91,IT,1681025747
299,belmonte,-15.8631,-38.8828,298.33,85,85,1.83,BR,1681025747
300,faya,18.3851,42.4509,292.44,37,0,2.67,SA,1681025748
301,komsomolskiy,40.4272,71.7189,295.55,40,100,2.06,UZ,1681025748
302,champerico,14.3,-91.9167,300.56,70,67,3.06,GT,1681025748
303,sinfra,6.6167,-5.9167,297.4,90,60,1.19,CI,1681025748
304,codrington,-38.2667,141.9667,285.87,70,100,6.24,AU,1681025749
305,kalat,29.0225,66.5916,291.91,23,19,0.83,PK,1681025749
306,lakes entrance,-37.8811,147.981,284.91,73,88,9.23,AU,1681025749
307,codajas,-3.8367,-62.0569,295.84,99,100,1.0,BR,1681025749
308,yulara,-25.2406,130.9889,305.53,20,16,2.73,AU,1681025749
309,qeshm,26.9581,56.2719,303.09,65,9,2.16,IR,1681025750
310,nhulunbuy,-12.2333,136.7667,302.49,74,40,3.6,AU,1681025750
311,sambava,-14.2667,50.1667,301.62,68,7,4.25,MG,1681025750
312,priponesti,46.0833,27.4333,282.91,63,60,2.8,RO,1681025750
313,kruisfontein,-34.0033,24.7314,287.53,90,100,5.44,ZA,1681025750
314,arlit,18.7369,7.3853,302.98,7,94,5.45,NE,1681025751
315,canby,45.2629,-122.6926,284.92,78,100,0.0,US,1681025751
316,kodiak,57.79,-152.4072,266.88,42,0,8.75,US,1681025751
317,lompoc,34.6391,-120.4579,286.49,97,100,1.54,US,1681025493
318,clyde river,70.4692,-68.5914,249.28,70,0,7.2,CA,1681025751
319,cervo,43.6702,-7.4101,285.91,59,100,1.78,ES,1681025752
320,meulaboh,4.1363,96.1285,302.7,68,84,3.77,ID,1681025752
321,san cristobal,7.7669,-72.225,291.47,84,45,0.97,VE,1681025753
322,pemangkat,1.1667,108.9667,301.5,73,96,4.64,ID,1681025753
323,huangchuan,32.1272,115.0394,297.13,39,23,6.68,CN,1681025753
324,aldergrove,49.058,-122.4709,282.06,88,100,1.54,CA,1681025754
